1486090118020	geckodriver	INFO	Listening on 127.0.0.1:50787
1486090119899	mozprofile::profile	INFO	Using profile path C:\Users\JACOBI~1\AppData\Local\Temp\rust_mozprofile.TrWkJ6MfiWE0
1486090119921	geckodriver::marionette	INFO	Starting browser C:\Program Files\Mozilla Firefox\firefox.exe
1484084812217	geckodriver::marionette	INFO	Connecting to Marionette on localhost:54369
1484084813235	Marionette	INFO	Listening on port 54369
1484084814630	Marionette	INFO	startBrowser f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084814640	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084814916	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084820923	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084820938	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084820955	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084820969	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084820983	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084821004	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084821055	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084821238	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084826333	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084831426	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084833426	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084833433	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084833448	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084834554	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084834572	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084834585	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084834599	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084834643	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084834665	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084834711	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084834723	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084834842	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084834852	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084835914	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084835937	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084836998	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084837025	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084838061	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084838095	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084839167	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084839185	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084840240	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084840256	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084841324	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084841389	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084842469	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084842578	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
1484084843769	Marionette	INFO	sendAsync f41edf8e-6563-4bff-a1c3-09e0ea1e62f4
